,Name,dist_to_campus_m,walk_time_min
0,The Study,699.299879683949,8.741248496049362
1,Rende,674.6048390024661,8.432560487530825
2,Feast,612.1420802708716,7.651776003385895
3,Bplate,478.89195018289445,5.98614937728618
4,Bcafe,532.759539492853,6.659494243660663
5,Epic,508.7136286390143,6.358920357987679
6,De Neve,491.98737579519707,6.1498421974399635
7,Dykstra Hall,485.603053034066,6.070038162925825
8,De Neve Plaza,497.9040324740631,6.223800405925789
9,De Neve Residence Hall,543.8038433841571,6.797548042301964
10,Hedrick Hall,719.4681849048366,8.993352311310456
11,Hitch Suites,848.652501732561,10.608156271657013
12,Olympic / Centennial,808.811012774059,10.110137659675738
13,Rieber Terrace,696.3735116306408,8.70466889538301
14,Rieber Vista,688.3717064632634,8.604646330790793
15,Rieber Hall,637.0255954172711,7.962819942715889
16,Saxon Suites,767.0701233373532,9.588376541716915
17,Sproul Landing,501.3666786785985,6.267083483482481
18,Hedrick Summit,758.6380497692878,9.482975622116097
19,Sunset Village,582.1576237641129,7.276970297051411
20,Sproul Hall,508.3261859191353,6.354077323989191
21,Gayley Court Apartment,372.8038293384117,4.660047866730146
22,Gayley Heights,483.5599753525647,6.044499691907059
23,Glenrock West Apartments,580.1076799827661,7.251345999784576
24,Glenrock Apartments,531.454553921519,6.643181924018988
25,Laurel,670.6655712320795,8.383319640400995
26,Landfair Apartments,387.7721950027326,4.847152437534158
27,Levering Terrace Apartments,576.6672508522319,7.208340635652898
28,Palo Verde,692.4877446553421,8.656096808191776
29,Tipuana,634.8211311602046,7.935264139502557
30,Westwood Chateau Apartments,626.2680467933861,7.8283505849173265
31,Westwood Palms Apartments,666.5785036559276,8.332231295699096
